"","text","speaker","season","episode","scene","utterance"
"71","Look Daddy, it's my life. Well maybe I'll just stay here with Monica.","Rachel Green",1,1,2,13
"72","Well, I guess we've established who's staying here with Monica...","Monica Geller",1,1,2,14
"73","Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!","Rachel Green",1,1,2,15
"74","[Time Lapse, Rachel is breating into a paper bag.]","Scene Directions",1,1,2,16
"75","Just breathe, breathe.. that's it. Just try to think of nice calm things...","Monica Geller",1,1,2,17
"76","Raindrops on roses and rabbits and kittens, bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few...","Phoebe Buffay",1,1,2,18
"77","I'm all better now.","Rachel Green",1,1,2,19
"78","I helped!","Phoebe Buffay",1,1,2,20
"79","Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing.","Monica Geller",1,1,2,21
"80","And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.","Joey Tribbiani",1,1,2,22
"81","Joey, stop hitting on her! It's her wedding day!","Monica Geller",1,1,2,23
"82","What, like there's a rule or something?","Joey Tribbiani",1,1,2,24
"83","(The door buzzer sounds and Chandler gets it.)","Scene Directions",1,1,2,25
"84","Please don't do that again, it's a horrible sound.","Chandler Bing",1,1,2,26
"85","It's, uh, it's Paul.","Paul the Wine Guy",1,1,2,27
"86","Oh God, is it 6:30? Buzz him in!","Monica Geller",1,1,2,28
"87","Who's Paul?","Joey Tribbiani",1,1,2,29
"88","Paul the Wine Guy, Paul?","Ross Geller",1,1,2,30
"89","Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?","Monica Geller",1,1,2,31
"90","He finally asked you out?","Ross Geller",1,1,2,32
"91","Yes!","Monica Geller",1,1,2,33
"92","Ooh, this is a Dear Diary moment.","Chandler Bing",1,1,2,34
"93","Rach, wait, I can cancel...","Monica Geller",1,1,2,35
"94","Please, no, go, that'd be fine!","Rachel Green",1,1,2,36
"95","Are, are you okay? I mean, do you want me to stay?","Monica Geller",1,1,2,37
"96","That'd be good...","Ross Geller",1,1,2,38
"97","Really?","Monica Geller",1,1,2,39
"98","No, go on! It's Paul the Wine Guy!","Ross Geller",1,1,2,40
"99","What does that mean? Does he sell it, drink it, or just complain a lot?","Phoebe Buffay",1,1,2,41
"100","(There's a knock on the door and it's Paul.)","Scene Directions",1,1,2,42
"101","Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul.","Monica Geller",1,1,2,43
"102","Hey! Paul! Hi! The Wine Guy! Hey!","#ALL#",1,1,2,44
"103","I'm sorry, I didn't catch your name. Paul, was it?","Chandler Bing",1,1,2,45
"104","Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...","Monica Geller",1,1,2,46
"105","A wandering?","Ross Geller",1,1,2,47
"106","Change! Okay, sit down. Two seconds.","Monica Geller",1,1,2,48
"107","Ooh, I just pulled out four eyelashes. That can't be good.","Phoebe Buffay",1,1,2,49
"108","(Monica goes to change.)","Scene Directions",1,1,2,50
"109","Hey, Paul!","Joey Tribbiani",1,1,2,51
"110","Yeah?","Paul the Wine Guy",1,1,2,52
"111","Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.","Joey Tribbiani",1,1,2,53
"112","Shut up, Joey!","Monica Geller",1,1,2,54
"113","So Rachel, what're you, uh... what're you up to tonight?","Ross Geller",1,1,2,55
"114","Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!","Rachel Green",1,1,2,56
"115","Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.","Ross Geller",1,1,2,57
"116","Yes, and we're very excited about it.","Chandler Bing",1,1,2,58
"117","Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day.","Rachel Green",1,1,2,59
"118","Okay, sure.","Ross Geller",1,1,2,60
"119","Hey Pheebs, you wanna help?","Joey Tribbiani",1,1,2,61
"120","Oh, I wish I could, but I don't want to.","Phoebe Buffay",1,1,2,62
